Provider,Link,Course Name,Summary,Track,Platform,Hands On,Skill Level,Difficulty,Length,Evidence of Completion
AWS Skill Builder,https://skillbuilder.aws/learn/QUFKB7MN86/amazon-translate-getting-started/YN99BHU2ZM,Amazon Translate: Getting Started,"Introductory course to Amazon Translate: what it does, use cases, basics of usage / embedding translate in applications.","Technical Skills, Machine Learning, AI Literacy",Amazon Translate,Probably Yes (hands-on examples),Novice,Easy,1 Hours,Module completion / AWS certificate / badge
AWS Skill Builder,https://skillbuilder.aws/learn/W2KFDZAWAK/amazon-textract-getting-started/ZVR1M8TBZW,Amazon Textract: Getting Started,"Introduces Amazon Textract (OCR & document data extraction), how to get started with use cases, sample workflows.","Technical Skills, AI Literacy, Machine Learning",Amazon Textract,Probably Yes (demo or hands-on),Novice,Easy,1 Hours,Module completion / AWS badge
AWS Skill Builder,https://skillbuilder.aws/learn/4NMYHNSHNB/amazon-q-introduction/MYW51ENVY1,Amazon Q: Introduction,"Introductory course for Amazon Q: what it is, core features, integrating into workflows & first steps.","Technical Skills, AI Literacy, Generative AI",Amazon Q,Probably No (overview),Novice,Low,1 Hours,Module completion / digital badge
AWS Skill Builder,https://skillbuilder.aws/learn/TU33983VQ7/fundamentals-of-prompt-engineering-with-claude/SB2G63EBUR,Fundamentals of Prompt Engineering with Claude,"Comparison / contrast prompt engineering with the Claude model; designing effective prompts, best practices specific to Claude.","Prompt Engineering, Generative AI",Claude (Anthropic),Probably Yes (examples / live prompts),Intermediate,Medium,1 Hours,Module completion / AWS certificate or badge
AWS Skill Builder,https://skillbuilder.aws/learn/YFACXFGBSJ/security-compliance-and-governance-for-ai-solutions/YZTVAG8P4Q,"Security, Compliance, and Governance for AI Solutions","Covers policies, regulatory & security safeguards, best practices in governance, compliance, risk management for AI deployments.","Responsible AI, Technical Skills, AI Literacy",General / cross-platform AI,No,Intermediate,Moderate,1 Hours,Module completion / AWS Skill Builder badge
AWS Skill Builder,https://skillbuilder.aws/learn/UJP5BWF9QA/getting-started-with-amazon-comprehend/5RH7N6SY7G,Getting Started with Amazon Comprehend,"Introductory course on Amazon Comprehend: features, use-cases, cost, architecture, with a guided tutorial.","AI Literacy, Machine Learning, Technical Skills",Amazon Comprehend / AWS,"Yes, includes guided tutorial and using AWS account or sandbox.",Novice,Easy,1 Hours,Digital badge / certificate upon completion via Skill Builder or AWS transcript.
AWS Skill Builder,https://skillbuilder.aws/learn/UBZRZCFANP/aws-foundations-how-amazon-sagemaker-can-help/8G6J7TB6J3,AWS Foundations: How Amazon SageMaker Can Help,"Shows how SageMaker supports machine learning lifecycle: from data prep, model building, training, deployment.","Machine Learning, MLOps, Technical Skills",Amazon SageMaker / AWS,Unknown (hands-on parts not clearly stated),Intermediate,Medium,1 Hours,"Evidence likely via AWS Skill Builder, completion record/transcript."
AWS Skill Builder,https://skillbuilder.aws/learn/PWJCMNXWHT/developing-generative-artificial-intelligence-solutions/JFB95SXNPF,Developing Generative Artificial Intelligence Solutions,"Primer on generative AI: covering lifecycle including business use case, model selection, performance measures, deployment meeting business goals.","Generative AI, Responsible AI, Technical Skills",Foundation Models / AWS (e.g. Bedrock etc.),Yes/Unknown (likely includes interactive labs),Novice,Medium,1 Hours,Certificate / badge via AWS Skill Builder; possibly assignment or quiz.
AWS Skill Builder,https://skillbuilder.aws/learn/8U8G8MKUEK/machine-learning-terminology-and-process/DMCV9X9A2V,Machine Learning Terminology and Process,"Covers the key terms, components, and flow/process in ML: theory of ML process, terminology.","Machine Learning, AI Literacy, Technical Skills",Generic ML / AWS,Unknown,Novice,Low,1 Hours,Skill Builder transcript / module completion.
AWS Skill Builder,https://skillbuilder.aws/learn/AHQWYUJG45/customizing-and-evaluating-llms-using-amazon-sagemaker-jumpstart/R9QGHERD1P,Customizing and Evaluating LLMs using Amazon SageMaker JumpStart,Teach how to use SageMaker JumpStart to fine-tune or customize large language models; evaluation tactics.,"Generative AI, Machine Learning, MLOps",Amazon SageMaker JumpStart,Yes,Intermediate,Intense,4 Hours,Certificate / badge via AWS; possibly project or lab artifact.
AWS Skill Builder,https://skillbuilder.aws/learn/6YYNQ61SBE/building-a-machine-learning-ready-organization/WQAWZYS4H6,Building a Machine Learning-Ready Organization,"Focuses on how to prepare an org for ML adoption: culture, data readiness, tooling & process alignment.","Machine Learning, MLOps, Responsible AI",AWS generic (organizational readiness),Unknown,Intermediate,Medium,1 Hours,Skill Builder record or completion transcript.
AWS Skill Builder,https://skillbuilder.aws/learn/R9R8GZ9TJ1/amazon-sagemaker-ai-getting-started/HDQAT92WP2,Amazon SageMaker AI: Getting Started,"Introductory work to get started with SageMaker AI features: training, deployment workflows.","AI Literacy, Machine Learning, Technical Skills",Amazon SageMaker / AWS,Yes,Novice,Easy,1 Hours,Completion certificate via AWS.
AWS Skill Builder,https://skillbuilder.aws/learn/VSS1JQ8QWW/developing-machine-learning-solutions/HR1KN4V89V,Developing Machine Learning Solutions,"Covers the end-to-end process of designing and building ML solutions: data, modeling, evaluation, deployment.","Machine Learning, MLOps, Technical Skills",AWS ML platform (SageMaker etc.),Yes,Intermediate,High,1 Hours,Transcript or badge via AWS upon completion.
AWS Skill Builder,https://skillbuilder.aws/learn/1H631ZWCTP/responsible-artificial-intelligence-practices/BN51NEFJNG,Responsible Artificial Intelligence Practices,"Introduces what responsible AI is, challenges, AWS tools, model & data selection, and transparency & explainability in AI systems.","Responsible AI, AI Literacy, Technical Skills",AWS,Unknown,Novice,Low,1 Hours,Provider profile transcript + knowledge checks & 1 assignment
AWS Skill Builder,https://skillbuilder.aws/learn/VF6H4SZ1BU/foundations-of-prompt-engineering/7U8XFUVXDT,Foundations of Prompt Engineering,"Covers basics & advanced prompt engineering: foundation models, prompt types, best practices, guard against misuse & bias.","Prompt Engineering, AI Literacy, Technical Skills",AWS,"Yes (includes interactive elearning, checks)",Intermediate,Medium,4 Hours,Skills badge / module completion via AWS Skill Builder
AWS Skill Builder,https://skillbuilder.aws/learn/XT38QX51A3/amazon-fraud-detector-getting-started/A8SU19K744,Amazon Fraud Detector: Getting Started,"Guides learners through how to use Amazon Fraud Detector to build, train, and deploy a fraud detection model using AWS services.","Technical Skills, Machine Learning, AI Literacy",AWS Fraud Detector,Yes (hands-on labs/tutorials),Novice,Medium,2 Hours,Provider transcript / module-completion + hands-on tutorial artifacts
AWS Skill Builder,https://skillbuilder.aws/learn/P893R86QWR/getting-started-with-aws-aipowered-services-through-aws-simulearn/SKG3PG74HE,Getting Started with AWS AI-Powered Services through AWS SimuLearn,Introductory exposure to AWS’s AI services via a simulated learning environment; explore key AI/ML services & scenarios.,"AI Literacy, Technical Skills",AWS,Yes (simulated labs),Novice,Medium,2 Hours,Completion of SimuLearn modules & progress tracking
AWS Skill Builder,https://skillbuilder.aws/learn/MRAJEZFMW7/building-language-models-on-aws/HC76V3KSK4,Building Language Models on AWS,"Teaches data ingestion & storage strategies, distributed training, customizing/fine-tuning open source models, deploying large language models with SageMaker.","Machine Learning, MLOps, Technical Skills",AWS SageMaker / AWS,Yes (labs),Advanced,High,6 Hours,Module completion + lab artifacts / provider certificate
AWS Skill Builder,https://skillbuilder.aws/learn/CDYTAJCKGY/optimizing-foundation-models/PVR1FRGN1T,Optimizing Foundation Models,"Covers techniques to improve foundation model performance, specifically Retrieval Augmented Generation (RAG) and fine-tuning; how to prepare data and evaluate model performance using AWS tools.","Generative AI, Technical Skills, Machine Learning","AWS (including vector DBs, embedding store, agents)",No (mostly reading + knowledge checks / text + graphics),Intermediate,Moderate,1 Hour,Certificate via AWS Skill Builder / “shareable certificate” / free course completion badge
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/2919,Gemini for Government,"This learning path for Gemini for Government is designed to provide a comprehensive introduction to this AI-powered suite of tools, which is an evolution of Agentspace.",",",",",Unknown,Novice,Easy,13 Hours,Unknown
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/183,Advanced: Generative AI for Developers,"Covers image generation, attention, transformers, RAG, use of Vertex AI etc.","Machine Learning, Technical Skills, Prompt Engineering",Google Cloud (Vertex AI etc.),Yes,Intermediate,Intense,30 Hours,Badge / completion of path
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/2806,Google Cloud AI Infrastructure,"Designing & deploying AI/ML infrastructure: GPUs, TPUs, orchestration etc.","Machine Learning, MLOps, Technical Skills",Google Cloud,Yes,Intermediate,Intense,3 Hours,Skill badge + module completions
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/118,Beginner: Introduction to Generative AI,"Basics of generative AI, prompt design, responsible AI principles.","AI Literacy, Prompt Engineering, Responsible AI",Google Cloud,Yes,Novice,Easy,8 Hours,Skill badge + path completion
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/17,Machine Learning Engineer Learning Path,"Guides ML engineers through real-world labs, courses required for productionizing ML systems.","Machine Learning, MLOps, Technical Skills",Google Cloud,Yes,Advanced,Intense,32 Hours,Badges + completion of required labs/courses
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/1873,Advanced: Generative AI Labs with Gemini on Google Cloud,"A series of 10 advanced hands-on labs focused on the Gemini model and its advanced capabilities (controlled generation, long context, synthetic data generation, etc.) aimed at practitioners who want to work at the cutting edge of generative AI.","Generative AI, Technical Skills, RAG",Vertex AI / Gemini API / Google GenAI SDK,Yes (labs),Expert,Intense,14 Hours,Skill badges; completion of all labs; lab artifacts; real-cloud usage recorded.
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/1951,Generative AI Leader,"A learning path for business or technology leaders to understand generative AI: what it is, its landscape, business uses, agents, and applications. Designed for non-technical to tech-adjacent leaders to guide strategy and decision-making.","AI Literacy, Responsible AI, Generative AI",Google Cloud offerings; no heavy technical platform required (tools/apps context),Yes / Mostly coursework; some labs or demos maybe,Novice,Easy,7 Hours,Badges upon completing each course + completion badge for full path; shareable skill badges.
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/1872,Analyze and Reason on Multimodal Data with Gemini,"Using text/image/audio/video, multimodal prompts & getting insights via Gemini 2.0","Technical Skills, Prompt Engineering, AI Literacy",Google Cloud,Yes,Intermediate,Medium,5 Hours,Skill badge + challenge lab
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/110,Public Sector Learning Path,"Data, Security, AI/ML for public sector: data sharing, governance, streaming analytics etc.","Data Science, Responsible AI, Technical Skills",Google Cloud,Yes,Intermediate,Intense,50 Hours,Badge / completion of path activity
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/19,Cloud Developer Learning Path,"A curated learning path of 13 activities (courses + labs + badges) that helps learners design, build, analyze, and maintain cloud-native apps using Google Cloud.","Technical Skills, MLOps, AI Literacy","Google Cloud (Cloud Run, IAM, Compute, etc.)","Yes (labs, hands-on)",Intermediate,Medium,34 Hours,Badges + lab completions + course completions; shareable Skill Badge once you complete the path.
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/1284,Generate Smarter Generative AI Outputs,"A 4-activity learning path aimed at developers who want to build generative AI apps. Covers diffusion models for image generation, vector search & embeddings, multimodal RAG with Gemini, etc.","Generative AI, Machine Learning, Technical Skills","Google Cloud (Vertex AI, Gemini, etc.)",Yes (courses + labs),Intermediate,Medium,18 Hours,Skill badge upon completing all required activities; badges + certificates for each course/lab.
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/1281,Integrate Generative AI Into Your Data Workflow,"For data pros; use BigQuery ML for inference, work with Gemini models in BigQuery, and build ML models/lab work to integrate GenAI into existing data workflows.","Machine Learning, Generative AI, Technical Skills","BigQuery, Gemini (Google Cloud)",Yes (hands-on labs + courses),Intermediate,Medium,14 Hours,Skill badge; completion of all labs/courses/quizzes in the path; shareable badges.
Google Cloud Skillsboost,https://www.cloudskillsboost.google/paths/1282,Build and Modernize Applications With Generative AI,"For app developers; begin with Gemini basics, then build GenAI apps, website modernization, agents/Flutter, and deploy with tools like Streamlit & Vertex AI.","Generative AI, Prompt Engineering, Technical Skills","Vertex AI, Gemini, Streamlit, Flutter, Cloud Run, etc.",Yes (courses + hands-on labs),Intermediate,Medium,18 Hours,"Skill badge awarded after completing required modules; badges, labs, challenge labs; shareable."
Google Developers,https://developers.google.com/machine-learning/crash-course,Machine Learning Crash Course,"A free, fast-paced introduction to ML: includes videos, interactive visualizations, hands-on practice, updated to cover LLMs & AutoML.","Machine Learning, AI Literacy, Technical Skills",Google / TensorFlow etc.,Yes,Novice,Medium,15 Hours,Badge / quiz completion & interactive exercises
Google Developers,https://developers.google.com/machine-learning/intro-to-ml,Introduction to Machine Learning,"Provides foundational understanding of what ML is: supervised/unsupervised learning, problem framing, basic model types.","Machine Learning, AI Literacy",Google,Likely Yes,Novice,Easy,1 Hours,Likely progress tracking / quiz or knowledge checks
Google Developers,https://developers.google.com/machine-learning/managing-ml-projects,Managing ML Projects,"Covers phases of an ML project from idea through production; roles, planning, stakeholder work; metrics, iteration, pipelines, and responsible ML practices.","AI Literacy, MLOps, Technical Skills",General / Theoretical ML project management,No,Intermediate,Medium,1 Hour,Reading + reflection / planning activities; no certificate indicated.
Google Developers,https://developers.google.com/machine-learning/clustering,Introduction to Clustering,"Explains clustering (unsupervised learning): similarity metrics, k-means, evaluating results, reducing dimensionality via autoencoders; practical guidance on which algorithm/metric to choose.","Machine Learning, Technical Skills, RAG (when using embeddings)",General ML / clustering algorithms & concepts,"No (mostly reading, examples; code samples are illustrative but not full labs)",Intermediate,Medium,2 Hours,Reading + quizzes / “Check Your Understanding” components; code samples; no formal certificate noted.
Google Developers,https://developers.google.com/machine-learning/practica/image-classification,ML Practicum: Image Classification,"Hands-on practicum: build CNN from scratch, prevent overfitting, use pretrained models; image classification case study.","Machine Learning, Technical Skills, AI Literacy",Google / TensorFlow etc.,Yes,Intermediate,Intense,2 Hours,Likely completion of practicum exercises & quizzes
Google Developers,https://developers.google.com/machine-learning/resources/prompt-eng,Prompt Engineering for Generative AI,"Guidance on writing effective prompts for large language models: clear instructions, examples, constraints, zero-/one/few shot, chain-of-thought, and iterative refinement.","Prompt Engineering, AI Literacy, Technical Skills",General / LLM-focused (no specific vendor required),No (pure reading + examples),Novice,Easy,1 Hours,Reading + self-assessment via reflection; you can use it as a pre-read or internal quiz; no formal certificate.
Google Developers,https://developers.google.com/machine-learning/resources/ml-ai-basics,Machine Learning & Artificial Intelligence Basics,"Introductory definitions of ML vs AI, common applications (maps, translation, recommendations), resource links to problem framing & glossaries; good for beginners.","AI Literacy, Machine Learning",General ML/AI concepts (theoretical / conceptual),No,Novice,Easy,1 Hour,Reading + maybe informal self-quiz / glossary usage; no certificate noted.
Google Developers,https://developers.google.com/machine-learning/resources/saif,Secure AI Framework (SAIF): A Conceptual Framework for Secure AI Systems,"A conceptual framework to help organizations understand and mitigate risks in AI systems (e.g. model stealing, data-poisoning, prompt injection, etc.), align infrastructure and threat models with secure & responsible AI practice.","Responsible AI, AI Literacy, Technical Skills",General Google / AI security landscape,No,Intermediate,Moderate,1 Hour,Reading + summary / reflection; possibly quiz or internal policy adoption.
Google Developers,https://developers.google.com/machine-learning/resources/intro-llms,Introduction to Large Language Models,"Defines language models and large language models, explores Transformers, self-attention, use cases and trade-offs (costs, benefits, issues like bias).","AI Literacy, Machine Learning, Responsible AI",General / theoretical (no specific software required),No,Novice,Easy,1 Hour,Reading completion; possibly internal assessment or reflection; could be used as pre-read for other training.
Google Developers,https://developers.google.com/learn/pathways/solution-ai-gemini-getting-started-web?hl=en,Getting Started with the Gemini API and Web Apps,"Learn to use the Gemini API and Google Gen AI SDK for JS/TS to build simple web apps. Includes API key setup, prompt engineering (freeform, structured, chat), multimodal inputs, and a sample Node.js app.","Technical Skills, Prompt Engineering, Generative AI","Gemini API, Google Gen AI SDK (JavaScript/TypeScript), Node.js, Web","Yes (sample app, code + prompt engineering, multimodal inputs)",Novice,Moderate,2 Hours,~2-3 Hours (estimate; depends on how quickly devs set up environment)
Google Developers,https://developer.android.com/courses/pathways/android-ai-overview?hl=en,Android AI-ML Learning Pathway / Overview,"Provides Android developers with an overview of AI/ML capabilities for Android: what tools, APIs, and ML models are available (on-device & cloud), sample catalog, how to integrate generative AI and ML features, and adds a quiz.","AI Literacy, Technical Skills, Machine Learning / Generative AI","Android platform, Kotlin / Android Studio; ML Kit; Firebase AI Logic SDK; Android APIs","Yes (through code samples, Codelabs, working with sample apps)",Intermediate,Moderate,3 Hours,"~3-5 Hours (depending on exploration of samples, articles, Codelabs)"
Google Codelabs,https://codelabs.developers.google.com/codelabs/cloud-run/tools-make-an-agent?hl=en#0,Tools Make an Agent: From Zero to Assistant with ADK,"Build a bug-assistant agent using ADK: start with a base agent, then add function tools, built-in tools, third-party tools (e.g. LangChain), and MCP tools. Deploy tools & services using Cloud Run, Cloud SQL, etc.","Technical Skills, AI Literacy, MLOps","ADK (Python), Cloud Run, Cloud SQL, MCP, LangChain","Yes (hands-on coding, deployment, setup)",Intermediate,Intense,7 Hours,Codelab completion with working deployed tools/agent; code artifacts; visible deployment; functioning agent; following all steps in lab.
Google Codelabs,https://codelabs.developers.google.com/codelabs/currency-agent?hl=en#0,"Getting Started with MCP, ADK and A2A (Currency Agent)","Guide to build a currency conversion agent: set up MCP server (local & on Cloud Run), use ADK to connect tools, expose agent via A2A, test client interaction.","Technical Skills, Prompt Engineering, RAG (tool-based access)","ADK, MCP, Cloud Run, Python","Yes (hands-on labs, code, deployment)",Intermediate,Moderate,2 Hours,Codelab completion; working MCP server; agent interaction; code + deployed service; testing via UI or client; artifact / code repo.
Google Codelabs,https://codelabs.developers.google.com/codelabs/cloud-run/use-mcp-server-on-cloud-run-with-an-adk-agent?hl=en#0,Use an MCP Server on Cloud Run with an ADK Agent,"Learn to build a Python-agent using Google’s ADK that uses a remote MCP server (zoo data, Wikipedia) and deploy it to Cloud Run, including secure authentication and tool-integration.","Technical Skills, RAG, AI / Machine Learning","ADK (Agent Development Kit), Python, Cloud Run, MCP Server","Yes (hands-on labs: coding agent, deploying, IAM)",Intermediate,Intense,5 Hours,Codelab progress + completed steps; working agent deployed and tested; artifact (agent URL); execution of tasks in the lab.
Google Codelabs,https://codelabs.developers.google.com/codelabs/cloud-run/how-to-deploy-a-secure-mcp-server-on-cloud-run?hl=en#0,How to deploy a secure MCP server on Cloud Run,"Build and deploy a Model Context Protocol (MCP) server using FastMCP, secure its endpoint, deploy on Cloud Run, and connect via Gemini CLI.","Technical Skills, MLOps, Responsible AI","FastMCP (Python), Cloud Run, Gemini CLI","Yes (hands-on: code server, Docker/Cloud Run deployment, secure auth)",Intermediate,Moderate,2 Hours,"Codelab completion; artifacts (deployed server, CLI connection); logs / IAM setup confirmation."
LangChain Academy,https://academy.langchain.com/courses/intro-to-langgraph,Foundation: Introduction to LangGraph,Free course teaching basics of LangGraph (framework for making agentic & multi-agent apps). ~6 hours of video across 54 lessons.,"Technical Skills, Prompt Engineering, AI Literacy",LangGraph (LangChain ecosystem),Yes,Novice,Easy,6 Hours,"Course completion via LangChain Academy track; video modules, quizzes etc."
Coursera,https://www.coursera.org/specializations/machine-learning-introduction,"Machine Learning Specialization (Andrew Ng, DeepLearning.AI)","Introductory ML including supervised & unsupervised learning (linear/logistic regression, neural nets, tree methods, clustering, etc).","Machine Learning, AI Literacy, Technical Skills",Coursera,Yes,Novice,Medium,94 Hours,Coursera Specialization certificate + graded assignments/projects
Coursera,https://www.coursera.org/learn/ai-for-everyone,AI For Everyone,"A non-technical introduction to AI: terminology, possibilities/limitations, how to spot AI use cases, ethical issues, and strategy in organizations.","AI Literacy, Responsible AI, Machine Learning",", (general AI concepts)",No,Novice,Low,6 Hours,Shareable certificate; module/quiz/assignment completions
Coursera,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,Fundamentals of Machine Learning and Artificial Intelligence,"Overview of ML and AI foundations, including AWS services, deep learning, and generative AI; introducing key terms and real-world application.","AI Literacy, Machine Learning, Technical Skills",AWS,Unknown (mostly reading + quiz + assignment),Novice,Low,1 Hour,Certificate / graded assignment + quiz
Coursera,https://www.coursera.org/learn/algorithms-part1,"Algorithms, Part I","An intermediate-course teaching fundamental algorithms and data structures (sorting, searching, stacks, queues, Union-Find etc.), using Java, with emphasis on performance and scientific analysis.","Technical Skills, Machine Learning, AI Literacy (since fundamental)",Java,Yes (programming assignments),Intermediate,Intense,54 Hours,Verified Certificate upon paying; assignments + quizzes + module completion.
Coursera,https://www.coursera.org/projects/chatgpt-prompt-engineering-for-developers-project,ChatGPT Prompt Engineering for Developers (Guided Project),A 2-hour project where developers use the OpenAI API to build prompt engineering skills through real tasks; includes building a custom chatbot and applying best practices for using an LLM.,"Prompt Engineering, Technical Skills, RAG (somewhat)",OpenAI API / LLM,Yes (hands-on project with code / chatbot),Novice,Easy,2 Hours,Certificate of Completion / Project artifact downloadable plus project completion verification.
Coursera,https://www.coursera.org/projects/finetuning-large-language-models-project,Finetuning Large Language Models,"Learn how to prepare data, fine-tune a large language model (LLM), and evaluate it; includes practical steps in a cloud environment with no installs required.","Machine Learning, RAG, Technical Skills",PyTorch / LLM frameworks,Yes,Intermediate,Moderate,1 Hour,Project artifact + project completion verification; downloadable files; certificate of completion.
Coursera,https://www.coursera.org/projects/langchain-for-llm-application-development-project,LangChain for LLM Application Development,"Intro to building LLM applications using LangChain: chaining prompts, memories, agents, parsing, QA over documents; hands-on project with basic Python.","Prompt Engineering, Technical Skills, Generative AI","LangChain, Python, LLMs",Yes,Novice,Easy,1 Hour,Project completion certificate / project artifact; files kept; verified by Coursera.
Coursera,https://www.coursera.org/projects/building-systems-with-the-chatgpt-api-project,Building Systems with the ChatGPT API,"Learn to automate complex workflows by chaining prompts, integrating Python code, building a customer-service chatbot; includes safety & multi-step reasoning via the ChatGPT API.","Prompt Engineering, Technical Skills, Generative AI","ChatGPT API, Python",Yes (guided project with code),Novice,Moderate,1 Hour,Project artifact / certificate of completion; verification via Coursera guided project mechanism
Coursera,https://www.coursera.org/learn/exploring-artificial-intelligence-use-cases-and-applications,Exploring Artificial Intelligence Use Cases and Applications,"Overview of AI, ML, and generative AI real-world applications: across industries (healthcare, finance, marketing, entertainment), with discussions of capabilities, limitations, model-selection and business metrics.","AI Literacy, Responsible AI, Business / Technical Skills",General AI / ML / GenAI (no specific tech required),Unknown (mostly reading + assignment; no coding),Novice,Easy,1 Hour,Certificate of Completion; module + assignment + quiz / reading completion
Coursera,https://www.coursera.org/learn/building-ai-powered-chatbots,Building AI Powered Chatbots Without Programming,"Teaches how to design, build, test, and deploy chatbots using IBM Watson Assistant without coding; covers intents, entities, dialog workflows, deployment, context & slots.","AI Literacy, Technical Skills, Responsible AI",Watson Assistant (IBM),"Yes (hands-on labs; creating intents/entities, dialogs, deploying)",Novice,Easy,12 Hours,Certificate of completion via Coursera after finishing all modules + labs/quizzes etc.
Coursera,https://www.coursera.org/learn/get-started-with-python,Get Started with Python,"Basic intro to Python for data analysts: data types, control flow, functions, loops, data structures; work with Python libraries (NumPy, pandas); interactive labs & assignments.","Technical Skills, Python Development, Data Science","Python, Jupyter Notebooks, NumPy, pandas","Yes (assignments, hands-on labs)",Novice,Easy,20 Hours,Certificate on completion + graded assignments & quizzes; part of a Professional Certificate program.
DeepLearning.AI,https://www.deeplearning.ai/courses/machine-learning-specialization/,Machine Learning Specialization,"A 3-course foundational program (from DeepLearning.AI & Stanford Online) designed for beginners, teaching ML concepts visually then via code; covers supervised/unsupervised learning, decision trees, neural nets, recommender systems, and real-world model practices.","AI Literacy, Machine Learning, Data Science","Python, TensorFlow, NumPy, scikit-learn",Yes,Novice,Moderate,60 Hours,Certificate from Coursera / course & specialization certificate
DeepLearning.AI,https://www.deeplearning.ai/short-courses/ai-python-for-beginners/,AI Python for Beginners,"A short, 4-part beginner course (~10 h 15 min) teaching Python fundamentals and practical AI applications: code basics, loops, functions, data structures, plus building tools like recipe generators, smart to-do lists, data visualization, file/API use with AI-assistants.","AI Literacy, Python Development, Technical Skills","Python (Jupyter notebooks, common libraries), AI assistants",Yes,Novice,Easy,10 Hours,Course completion certificate / “certificate completion link” on DeepLearning.AI
DeepLearning.AI,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,ChatGPT Prompt Engineering for Developers,"Learn prompt engineering best practices with LLMs, using OpenAI API; build custom chatbot; many examples & notebook work.","Prompt Engineering, Generative AI, Technical Skills",DeepLearning.AI,Yes,Beginner,Easy,2 Hours,Completion + quizzes + notebook + code examples
DeepLearning.AI,https://www.deeplearning.ai/courses/retrieval-augmented-generation-rag/,Retrieval Augmented Generation (RAG),"Build real-world RAG systems: retrieval, vector DBs, prompt design & evaluation across domains.","Machine Learning, RAG, Technical Skills",DeepLearning.AI,Yes,Intermediate,Intense,8 Hours,Certificate + assignments
DeepLearning.AI,https://www.deeplearning.ai/short-courses/orchestrating-workflows-for-genai-applications/,Orchestrating Workflows for GenAI Applications,"Teaches how to turn a GenAI prototype (esp. RAG) into robust, automated pipelines using Apache Airflow 3.0: workflows, scheduling (time & event-based), retries/alerts/failures, dynamic task mapping, etc.","RAG, MLOps, Technical Skills",Apache Airflow (GenAI workflows),Yes,Intermediate,Intense,1 Hour,Certificate of completion / module completion (DeepLearning.AI “Enroll for Free” short course format)
DeepLearning.AI,https://www.deeplearning.ai/short-courses/mcp-build-rich-context-ai-apps-with-anthropic/,MCP: Build Rich-Context AI Apps with Anthropic,"Covers the Model Context Protocol (MCP), how it lets AI apps standardize tools/data/prompts from external sources; build MCP-server and client; integrate with external systems & apps like Claude Desktop.","Technical Skills, Prompt Engineering, AI Literacy",MCP / Anthropic tools,Yes,Intermediate,Intense,2 Hours,Certificate of completion / module completion (DeepLearning.AI short course)
DeepLearning.AI,https://www.deeplearning.ai/short-courses/building-ai-browser-agents/,Building AI Browser Agents,"Learn to build autonomous browser agents: scraping & summarizing webpages, form-filling, sign-ups; explore decision-making via AgentQ (using MCTS, self-critique, DPO), understand limitations and future of web agents.","Technical Skills, Prompt Engineering, AI Literacy",AgentQ / Web agents; Python & HTML/DOM interactions,Yes,Intermediate,Intense,1 Hour,Certificate upon completion (course completion within DeepLearning.AI)
DeepLearning.AI,https://www.deeplearning.ai/short-courses/getting-structured-llm-output/,Getting Structured LLM Output,"Shows how to generate structured outputs (e.g. JSON) from LLMs: via APIs, re-prompting libraries, constrained decoding; plus building a social-media agent, defining schemas with Pydantic, handling structured data.","Technical Skills, Prompt Engineering, AI Literacy","LLMs, structured output APIs, Python, “instructor” library",Yes,Intermediate,Medium,1 Hour,Certificate upon completion (DeepLearning.AI short course)
DeepLearning.AI,https://www.deeplearning.ai/short-courses/event-driven-agentic-document-workflows/,Event-Driven Agentic Document Workflows,"Teaches how to build workflows that automate document handling with agents: form parsing, RAG for document retrieval, human-in-the-loop feedback (text & voice), branching, looping, concurrent logic.","RAG, Technical Skills, AI Literacy","LlamaIndex, Python, RAG, agent workflows",Yes,Intermediate,Medium,1 Hour,Completion certificate from DeepLearning.AI short course
DeepLearning.AI,https://www.deeplearning.ai/short-courses/building-an-ai-powered-game/,Building an AI-Powered Game,"A project-style course to build a text-based interactive game using LLMs: define story/world, game mechanics, UI (Gradio), safety guardrails using Llama Guard, inventory & state tracking.","Prompt Engineering, Technical Skills, AI Literacy","LLMs, Gradio, Llama Guard, Python",Yes,Beginner,Medium,1 Hour,Completion certificate from DeepLearning.AI short course
